year,country,side_a,side_b,deaths_a,deaths_b,deaths_civilians
1994,Turkey,Government of Turkey,PKK,0,1,0
1997,Turkey,Government of Turkey,PKK,0,2,0
1997,Turkey,Government of Turkey,PKK,4,0,0
1997,Turkey,Government of Turkey,PKK,0,25,0
2015,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,50,116,0
1997,Turkey,Government of Turkey,PKK,0,19,0
1996,Turkey,Government of Turkey,PKK,0,1,0
1996,Turkey,Government of Turkey,PKK,17,0,0
1996,Turkey,Government of Turkey,PKK,3,1,0
1997,Turkey,Government of Turkey,PKK,1,24,0
1997,Turkey,Government of Turkey,PKK,0,32,0
1996,Turkey,Government of Turkey,PKK,2,0,0
1996,Turkey,Government of Turkey,PKK,1,5,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,1,0,0
1996,Turkey,Government of Turkey,PKK,0,10,0
1996,Turkey,Government of Turkey,PKK,1,4,0
1996,Turkey,Government of Turkey,PKK,4,12,0
1996,Turkey,Government of Turkey,PKK,14,45,0
1996,Turkey,Government of Turkey,PKK,0,6,0
1996,Turkey,Government of Turkey,PKK,1,0,0
2015,Turkey,Government of Turkey,PKK,0,13,0
1996,Turkey,Government of Turkey,PKK,5,0,2
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,3,0,0
1996,Turkey,Government of Turkey,PKK,6,3,0
1996,Turkey,Government of Turkey,PKK,0,6,0
1996,Turkey,Government of Turkey,PKK,0,2,0
1996,Turkey,Government of Turkey,PKK,0,0,0
1996,Turkey,Government of Turkey,PKK,0,1,0
1996,Turkey,Government of Turkey,PKK,0,6,0
1996,Turkey,Government of Turkey,PKK,0,21,0
1996,Turkey,Government of Turkey,PKK,0,5,0
1996,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1996,Turkey,Government of Turkey,PKK,0,4,0
1996,Turkey,Government of Turkey,PKK,1,3,2
1996,Turkey,Government of Turkey,PKK,2,2,1
1996,Turkey,Government of Turkey,PKK,2,0,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,1,6,0
1996,Turkey,Government of Turkey,PKK,0,2,0
1996,Turkey,Government of Turkey,PKK,1,8,0
1996,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,0,27,0
1997,Turkey,Government of Turkey,PKK,0,13,0
1997,Turkey,Government of Turkey,PKK,0,20,0
1997,Turkey,Government of Turkey,PKK,1,42,0
1996,Turkey,Government of Turkey,PKK,0,0,0
1997,Turkey,Government of Turkey,PKK,0,16,0
1997,Turkey,Government of Turkey,PKK,0,5,0
1997,Turkey,Government of Turkey,PKK,0,10,0
1996,Turkey,Government of Turkey,PKK,0,22,0
1997,Turkey,Government of Turkey,PKK,0,6,0
1996,Turkey,Government of Turkey,PKK,5,0,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,0,10,0
2004,Turkey,Government of Turkey,PKK,2,0,0
2004,Turkey,Government of Turkey,PKK,0,0,0
2004,Turkey,Government of Turkey,PKK,1,0,0
1996,Turkey,Government of Turkey,PKK,0,4,0
1996,Turkey,Government of Turkey,PKK,1,3,0
1996,Turkey,Government of Turkey,PKK,0,16,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,0,4,0
1996,Turkey,Government of Turkey,PKK,3,3,0
1996,Turkey,Government of Turkey,PKK,0,10,0
1995,Turkey,Government of Turkey,PKK,4,0,3
1995,Turkey,Government of Turkey,PKK,1,2,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1996,Turkey,Government of Turkey,PKK,9,69,0
1996,Turkey,Government of Turkey,PKK,0,6,0
1996,Turkey,Government of Turkey,PKK,9,2,0
1996,Turkey,Government of Turkey,PKK,3,9,0
1996,Turkey,Government of Turkey,PKK,0,22,0
1996,Turkey,Government of Turkey,PKK,0,7,0
1996,Turkey,Government of Turkey,PKK,6,5,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1996,Turkey,Government of Turkey,PKK,0,10,0
1996,Turkey,Government of Turkey,PKK,3,43,0
1996,Turkey,Government of Turkey,PKK,7,40,0
1997,Turkey,Government of Turkey,PKK,0,43,0
1997,Turkey,Government of Turkey,PKK,0,13,0
1997,Turkey,Government of Turkey,PKK,5,26,0
1997,Turkey,Government of Turkey,PKK,1,7,0
1997,Turkey,Government of Turkey,PKK,0,19,0
1996,Turkey,Government of Turkey,PKK,0,6,0
1996,Turkey,Government of Turkey,PKK,0,4,0
1996,Turkey,Government of Turkey,PKK,0,4,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,0,12,0
1996,Turkey,Government of Turkey,PKK,0,2,0
1996,Turkey,Government of Turkey,PKK,0,27,0
1996,Turkey,Government of Turkey,PKK,3,0,0
1996,Turkey,Government of Turkey,PKK,0,5,0
1996,Turkey,Government of Turkey,PKK,0,44,0
1996,Turkey,Government of Turkey,PKK,1,2,0
1996,Turkey,Government of Turkey,PKK,2,10,0
1996,Turkey,Government of Turkey,PKK,0,4,0
1996,Turkey,Government of Turkey,PKK,0,8,0
1996,Turkey,Government of Turkey,PKK,8,0,0
1997,Turkey,Government of Turkey,PKK,0,7,0
1996,Turkey,Government of Turkey,PKK,0,12,0
1996,Turkey,Government of Turkey,PKK,0,5,0
1996,Turkey,Government of Turkey,PKK,1,0,0
1996,Turkey,Government of Turkey,PKK,3,60,0
1996,Turkey,Government of Turkey,PKK,0,4,0
1996,Turkey,Government of Turkey,PKK,1,5,0
1997,Turkey,Government of Turkey,PKK,0,15,0
1996,Turkey,Government of Turkey,PKK,9,1,0
1996,Turkey,Government of Turkey,PKK,0,5,0
1996,Turkey,Government of Turkey,PKK,4,0,0
1996,Turkey,Government of Turkey,PKK,1,0,1
1996,Turkey,Government of Turkey,PKK,0,43,0
1996,Turkey,Government of Turkey,PKK,0,2,0
1996,Turkey,Government of Turkey,PKK,0,9,0
1997,Turkey,Government of Turkey,PKK,5,19,0
1997,Turkey,Government of Turkey,PKK,0,18,0
2001,Turkey,Government of Turkey,PKK,0,2,0
2001,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,0,37,0
1995,Turkey,Government of Turkey,PKK,0,17,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1997,Turkey,Government of Turkey,PKK,0,4,0
1997,Turkey,Government of Turkey,PKK,0,22,0
1997,Turkey,Government of Turkey,PKK,2,0,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,0,3,1
1995,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,20,0
1995,Turkey,Government of Turkey,PKK,0,42,0
1995,Turkey,Government of Turkey,PKK,3,18,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,3,9,0
1995,Turkey,Government of Turkey,PKK,0,7,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,6,0,0
1995,Turkey,Government of Turkey,PKK,6,3,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1992,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,6,0,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,1,8,0
1995,Turkey,Government of Turkey,PKK,0,26,0
1996,Turkey,Government of Turkey,PKK,0,8,0
1995,Turkey,Government of Turkey,PKK,3,11,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,12,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,2,5,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,1,6,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,0,2,0
1996,Turkey,Government of Turkey,PKK,0,8,0
1996,Turkey,Government of Turkey,PKK,0,1,0
1996,Turkey,Government of Turkey,PKK,2,0,1
1996,Turkey,Government of Turkey,PKK,0,5,0
1996,Turkey,Government of Turkey,PKK,4,2,0
1996,Turkey,Government of Turkey,PKK,0,27,0
1997,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,13,22,0
1998,Turkey,Government of Turkey,PKK,0,4,0
1998,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,3,0
2015,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,18,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1996,Turkey,Government of Turkey,PKK,0,4,0
1996,Turkey,Government of Turkey,PKK,1,3,0
1995,Turkey,Government of Turkey,PKK,15,0,0
1996,Turkey,Government of Turkey,PKK,7,5,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,1,3,0
1993,Turkey,Government of Turkey,PKK,1,1,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,1,2,0
2015,Turkey,Government of Turkey,PKK,0,5,0
1996,Turkey,Government of Turkey,PKK,0,7,0
1996,Turkey,Government of Turkey,PKK,0,28,0
1996,Turkey,Government of Turkey,PKK,5,0,0
1996,Turkey,Government of Turkey,PKK,0,10,0
1999,Turkey,Government of Turkey,PKK,0,4,0
1999,Turkey,Government of Turkey,PKK,0,5,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,10,0,0
1995,Turkey,Government of Turkey,PKK,3,0,0
1995,Turkey,Government of Turkey,PKK,0,19,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1994,Turkey,Government of Turkey,PKK,0,11,0
1995,Turkey,Government of Turkey,PKK,2,13,0
1995,Turkey,Government of Turkey,PKK,0,26,0
1995,Turkey,Government of Turkey,PKK,1,3,0
1995,Turkey,Government of Turkey,PKK,7,26,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,4,26,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,9,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,10,0
1996,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,0,11,0
1994,Turkey,Government of Turkey,PKK,0,15,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,4,0,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,37,0
1995,Turkey,Government of Turkey,PKK,7,2,0
1994,Turkey,Government of Turkey,PKK,3,8,0
1994,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,2,0,0
1994,Turkey,Government of Turkey,PKK,6,3,0
1994,Turkey,Government of Turkey,PKK,2,4,0
1994,Turkey,Government of Turkey,PKK,4,5,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,0,16,0
1994,Turkey,Government of Turkey,PKK,1,3,0
1995,Turkey,Government of Turkey,PKK,3,10,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,14,0
1995,Turkey,Government of Turkey,PKK,0,27,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1995,Turkey,Government of Turkey,PKK,4,0,0
1995,Turkey,Government of Turkey,PKK,3,4,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,0,14,0
1995,Turkey,Government of Turkey,PKK,0,13,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1995,Turkey,Government of Turkey,PKK,3,70,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,10,0
1995,Turkey,Government of Turkey,PKK,0,21,0
1995,Turkey,Government of Turkey,PKK,4,13,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,15,0
1995,Turkey,Government of Turkey,PKK,1,2,0
1995,Turkey,Government of Turkey,PKK,0,20,0
1995,Turkey,Government of Turkey,PKK,0,9,0
1995,Turkey,Government of Turkey,PKK,0,14,0
1995,Turkey,Government of Turkey,PKK,1,2,0
1995,Turkey,Government of Turkey,PKK,4,16,0
1995,Turkey,Government of Turkey,PKK,0,11,0
1995,Turkey,Government of Turkey,PKK,2,0,0
1995,Turkey,Government of Turkey,PKK,1,3,0
1995,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,2,11,0
1995,Turkey,Government of Turkey,PKK,1,9,0
1995,Turkey,Government of Turkey,PKK,0,11,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,1,9,0
1995,Turkey,Government of Turkey,PKK,2,0,0
1995,Turkey,Government of Turkey,PKK,1,7,0
1995,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,1,5,0
1994,Turkey,Government of Turkey,PKK,2,1,1
1994,Turkey,Government of Turkey,PKK,7,0,0
1994,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,12,0
1995,Turkey,Government of Turkey,PKK,18,3,0
1995,Turkey,Government of Turkey,PKK,0,11,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,0,45,0
1994,Turkey,Government of Turkey,PKK,1,8,0
1994,Turkey,Government of Turkey,PKK,1,2,0
1994,Turkey,Government of Turkey,PKK,3,0,0
1994,Turkey,Government of Turkey,PKK,1,12,0
1994,Turkey,Government of Turkey,PKK,3,0,2
1994,Turkey,Government of Turkey,PKK,1,4,0
1994,Turkey,Government of Turkey,PKK,0,7,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,2,5,0
1994,Turkey,Government of Turkey,PKK,0,5,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,1,3,0
1995,Turkey,Government of Turkey,PKK,0,33,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,0,30,0
1995,Turkey,Government of Turkey,PKK,0,11,0
1995,Turkey,Government of Turkey,PKK,0,27,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,24,0
1995,Turkey,Government of Turkey,PKK,2,0,0
1995,Turkey,Government of Turkey,PKK,0,7,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,9,0
1995,Turkey,Government of Turkey,PKK,0,23,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,4,50,0
1995,Turkey,Government of Turkey,PKK,1,12,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,12,0
1995,Turkey,Government of Turkey,PKK,0,31,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,15,0,0
1995,Turkey,Government of Turkey,PKK,5,17,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,40,0
1995,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,13,21,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,0,9,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,4,0,0
1994,Turkey,Government of Turkey,PKK,1,1,0
1994,Turkey,Government of Turkey,PKK,2,19,0
1994,Turkey,Government of Turkey,PKK,0,7,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,9,28,0
1994,Turkey,Government of Turkey,PKK,3,19,0
1994,Turkey,Government of Turkey,PKK,0,5,0
1994,Turkey,Government of Turkey,PKK,0,10,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,1,4,0
1994,Turkey,Government of Turkey,PKK,2,11,0
1994,Turkey,Government of Turkey,PKK,0,9,0
1994,Turkey,Government of Turkey,PKK,0,8,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,13,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,11,0,0
1995,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,7,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,2,12,1
1995,Turkey,Government of Turkey,PKK,1,7,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,2,0,0
1995,Turkey,Government of Turkey,PKK,1,6,0
1994,Turkey,Government of Turkey,PKK,0,9,0
1994,Turkey,Government of Turkey,PKK,2,0,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,1,9,0
1995,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,0,19,0
1995,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,0,10,0
1995,Turkey,Government of Turkey,PKK,4,7,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,8,1,0
1994,Turkey,Government of Turkey,PKK,0,30,0
2015,Turkey,Government of Turkey,PKK,0,5,1
1995,Turkey,Government of Turkey,PKK,3,22,0
1995,Turkey,Government of Turkey,PKK,0,14,0
1995,Turkey,Government of Turkey,PKK,0,16,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,1,3,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,2,0,0
1995,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,7,0
2015,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,1,4,0
1994,Turkey,Government of Turkey,PKK,0,22,0
1994,Turkey,Government of Turkey,PKK,0,24,0
1994,Turkey,Government of Turkey,PKK,1,4,0
1994,Turkey,Government of Turkey,PKK,0,15,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,15,0
1994,Turkey,Government of Turkey,PKK,0,7,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,1,0,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,7,0
1994,Turkey,Government of Turkey,PKK,0,8,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,24,0
1995,Turkey,Government of Turkey,PKK,0,0,0
1995,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,2,5,0
1995,Turkey,Government of Turkey,PKK,0,2,0
1995,Turkey,Government of Turkey,PKK,0,1,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,0,15,0
1994,Turkey,Government of Turkey,PKK,1,4,0
1995,Turkey,Government of Turkey,PKK,1,0,0
1995,Turkey,Government of Turkey,PKK,0,9,0
1995,Turkey,Government of Turkey,PKK,1,19,0
1994,Turkey,Government of Turkey,PKK,1,6,0
1994,Turkey,Government of Turkey,PKK,0,11,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,2,6,0
1994,Turkey,Government of Turkey,PKK,0,5,0
1995,Turkey,Government of Turkey,PKK,0,6,0
1994,Turkey,Government of Turkey,PKK,0,5,0
1994,Turkey,Government of Turkey,PKK,0,27,0
1994,Turkey,Government of Turkey,PKK,0,10,0
1994,Turkey,Government of Turkey,PKK,1,4,0
1994,Turkey,Government of Turkey,PKK,12,0,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,0,5,0
1994,Turkey,Government of Turkey,PKK,13,0,0
1995,Turkey,Government of Turkey,PKK,1,4,0
1995,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,0,27,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,8,0,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,1,1,0
1994,Turkey,Government of Turkey,PKK,0,10,0
1994,Turkey,Government of Turkey,PKK,0,5,0
1994,Turkey,Government of Turkey,PKK,0,5,0
1994,Turkey,Government of Turkey,PKK,2,0,0
1994,Turkey,Government of Turkey,PKK,4,0,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,0,8,0
1994,Turkey,Government of Turkey,PKK,1,22,0
1994,Turkey,Government of Turkey,PKK,11,3,0
1994,Turkey,Government of Turkey,PKK,0,13,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,1,0,0
1993,Turkey,Government of Turkey,PKK,0,4,0
1993,Turkey,Government of Turkey,PKK,0,1,0
1993,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,1,0,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,0,8,0
1994,Turkey,Government of Turkey,PKK,0,17,0
1994,Turkey,Government of Turkey,PKK,0,30,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1995,Turkey,Government of Turkey,PKK,2,24,0
1994,Turkey,Government of Turkey,PKK,1,4,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,0,7,0
1994,Turkey,Government of Turkey,PKK,0,13,0
1994,Turkey,Government of Turkey,PKK,5,0,0
1994,Turkey,Government of Turkey,PKK,0,6,0
1994,Turkey,Government of Turkey,PKK,0,8,0
1994,Turkey,Government of Turkey,PKK,0,3,0
1994,Turkey,Government of Turkey,PKK,0,2,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,0,4,0
1994,Turkey,Government of Turkey,PKK,4,18,0
1994,Turkey,Government of Turkey,PKK,0,11,0
1994,Turkey,Government of Turkey,PKK,3,7,0
1994,Turkey,Government of Turkey,PKK,0,13,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1994,Turkey,Government of Turkey,PKK,0,14,0
1994,Turkey,Government of Turkey,PKK,0,27,0
1994,Turkey,Government of Turkey,PKK,5,0,0
1994,Turkey,Government of Turkey,PKK,0,7,0
1994,Turkey,Government of Turkey,PKK,3,0,0
1994,Turkey,Government of Turkey,PKK,0,12,0
1994,Turkey,Government of Turkey,PKK,2,1,0
