year,country,side_a,side_b,deaths_a,deaths_b,deaths_civilians
2001,Turkey,Government of Turkey,PKK,0,3,0
2001,Turkey,Government of Turkey,PKK,1,9,0
2001,Turkey,Government of Turkey,PKK,2,7,0
2001,Turkey,Government of Turkey,PKK,0,1,1
2001,Turkey,Government of Turkey,PKK,1,0,0
2004,Turkey,Government of Turkey,PKK,0,0,0
2003,Turkey,Government of Turkey,PKK,1,1,0
2003,Turkey,Government of Turkey,PKK,2,0,0
2003,Turkey,Government of Turkey,PKK,2,0,0
2003,Turkey,Government of Turkey,PKK,0,2,0
2003,Turkey,Government of Turkey,PKK,2,3,0
2003,Turkey,Government of Turkey,PKK,0,3,0
2003,Turkey,Government of Turkey,PKK,1,0,0
2003,Turkey,Government of Turkey,PKK,0,1,0
2003,Turkey,Government of Turkey,PKK,0,1,0
2003,Turkey,Government of Turkey,PKK,0,1,0
2003,Turkey,Government of Turkey,PKK,0,0,4
2004,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,13,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,4,2
1999,Turkey,Government of Turkey,PKK,1,11,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,0,7,0
1999,Turkey,Government of Turkey,PKK,18,0,0
1999,Turkey,Government of Turkey,PKK,0,5,0
1994,Turkey,Government of Turkey,PKK,0,11,0
1999,Turkey,Government of Turkey,PKK,0,14,0
2000,Turkey,Government of Turkey,PKK,0,0,0
2001,Turkey,Government of Turkey,PKK,5,9,0
2001,Turkey,Government of Turkey,PKK,0,4,0
2001,Turkey,Government of Turkey,PKK,1,5,0
1999,Turkey,Government of Turkey,PKK,0,8,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,0,9,0
1999,Turkey,Government of Turkey,PKK,3,6,0
1999,Turkey,Government of Turkey,PKK,7,15,0
1999,Turkey,Government of Turkey,PKK,0,4,0
1999,Turkey,Government of Turkey,PKK,0,5,0
1999,Turkey,Government of Turkey,PKK,0,3,1
1999,Turkey,Government of Turkey,PKK,0,1,0
2000,Turkey,Government of Turkey,PKK,2,9,0
2000,Turkey,Government of Turkey,PKK,0,1,0
2003,Turkey,Government of Turkey,PKK,0,2,0
2004,Turkey,Government of Turkey,PKK,0,0,0
2004,Turkey,Government of Turkey,PKK,0,0,0
2004,Turkey,Government of Turkey,PKK,1,0,0
2004,Turkey,Government of Turkey,PKK,0,1,0
2004,Turkey,Government of Turkey,PKK,0,1,0
1998,Turkey,Government of Turkey,PKK,20,0,0
1998,Turkey,Government of Turkey,PKK,0,8,0
1998,Turkey,Government of Turkey,PKK,1,10,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1998,Turkey,Government of Turkey,PKK,0,0,0
1998,Turkey,Government of Turkey,PKK,0,5,0
1994,Turkey,Government of Turkey,PKK,0,1,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,0,10,0
1999,Turkey,Government of Turkey,PKK,0,11,0
1999,Turkey,Government of Turkey,PKK,4,12,0
1999,Turkey,Government of Turkey,PKK,0,0,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1993,Turkey,Government of Turkey,PKK,7,0,0
1999,Turkey,Government of Turkey,PKK,2,0,2
1999,Turkey,Government of Turkey,PKK,3,0,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,0,0
1999,Turkey,Government of Turkey,PKK,7,0,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,1,1,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,1,4,0
1999,Turkey,Government of Turkey,PKK,1,2,0
1999,Turkey,Government of Turkey,PKK,5,0,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,8,0,0
1999,Turkey,Government of Turkey,PKK,0,6,0
1999,Turkey,Government of Turkey,PKK,0,12,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,10,0
1999,Turkey,Government of Turkey,PKK,0,18,0
1999,Turkey,Government of Turkey,PKK,10,0,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,4,0,0
1999,Turkey,Government of Turkey,PKK,0,8,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,1,0,0
2004,Turkey,Government of Turkey,PKK,0,1,0
2004,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,0,7,0
1999,Turkey,Government of Turkey,PKK,0,5,0
2000,Turkey,Government of Turkey,PKK,1,4,0
2000,Turkey,Government of Turkey,PKK,0,5,0
2000,Turkey,Government of Turkey,PKK,0,7,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,0,1,0
2000,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,1,2,0
1998,Turkey,Government of Turkey,PKK,5,1,0
1998,Turkey,Government of Turkey,PKK,0,5,0
1999,Turkey,Government of Turkey,PKK,3,0,0
2000,Iraq,Government of Turkey,PKK,0,53,0
1998,Turkey,Government of Turkey,PKK,0,4,0
1998,Turkey,Government of Turkey,PKK,6,16,0
1998,Turkey,Government of Turkey,PKK,0,6,0
1999,Turkey,Government of Turkey,PKK,20,0,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,3,0,0
1999,Turkey,Government of Turkey,PKK,8,0,0
1999,Turkey,Government of Turkey,PKK,1,3,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,0,10,0
1999,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,3,0,0
1999,Turkey,Government of Turkey,PKK,9,0,0
1999,Turkey,Government of Turkey,PKK,4,2,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,1,1
1999,Turkey,Government of Turkey,PKK,3,0,1
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,0,12,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,0,3,0
1999,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,0,4,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,6,10,0
1997,Turkey,Government of Turkey,PKK,0,1,0
1997,Turkey,Government of Turkey,PKK,1,3,0
1997,Turkey,Government of Turkey,PKK,0,5,0
1997,Turkey,Government of Turkey,PKK,0,6,0
1997,Turkey,Government of Turkey,PKK,0,3,0
1997,Turkey,Government of Turkey,PKK,2,0,0
1998,Turkey,Government of Turkey,PKK,10,0,0
1998,Turkey,Government of Turkey,PKK,1,12,0
1998,Turkey,Government of Turkey,PKK,0,2,0
1999,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,0,4,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,7,5,0
1999,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,2,5,0
1999,Turkey,Government of Turkey,PKK,0,8,0
1999,Turkey,Government of Turkey,PKK,2,0,0
1999,Turkey,Government of Turkey,PKK,1,3,0
1999,Turkey,Government of Turkey,PKK,4,0,0
1997,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,3,0,0
1995,Turkey,Government of Turkey,PKK,0,5,0
2000,Turkey,Government of Turkey,PKK,1,3,0
2001,Turkey,Government of Turkey,PKK,0,0,0
2001,Turkey,Government of Turkey,PKK,0,5,0
1998,Turkey,Government of Turkey,PKK,2,7,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1999,Turkey,Government of Turkey,PKK,5,35,0
1999,Turkey,Government of Turkey,PKK,3,1,0
1998,Turkey,Government of Turkey,PKK,2,0,0
1998,Turkey,Government of Turkey,PKK,4,0,0
1998,Turkey,Government of Turkey,PKK,3,0,1
1998,Turkey,Government of Turkey,PKK,0,23,0
1998,Turkey,Government of Turkey,PKK,1,13,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1992,Turkey,Government of Turkey,PKK,0,1,0
1999,Turkey,Government of Turkey,PKK,4,0,0
1999,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,0,16,0
1998,Turkey,Government of Turkey,PKK,0,1,0
1998,Turkey,Government of Turkey,PKK,3,0,0
1998,Turkey,Government of Turkey,PKK,1,2,0
1998,Turkey,Government of Turkey,PKK,0,18,0
1998,Turkey,Government of Turkey,PKK,2,8,0
1998,Turkey,Government of Turkey,PKK,1,0,0
1997,Turkey,Government of Turkey,PKK,4,0,0
1998,Turkey,Government of Turkey,PKK,17,0,0
1998,Turkey,Government of Turkey,PKK,0,1,0
1998,Turkey,Government of Turkey,PKK,8,0,0
1998,Turkey,Government of Turkey,PKK,1,4,0
